nr;Ερώτηση;σωστή απάντηση;wrong 1;wrong 2;wrong 3;Level.Section;variations;learning goal;Images;feedback
Q001;Ποια από τις παρακάτω αναπαραστάσεις είναι συνάρτηση?;Γράφημα Α;Γράφημα B;Γράφημα Γ;Γράφημα Δ;x;1;x;Q001_image1;
Q002;Ποιο είδος συνάρτησης αναπαρίσταται στον πίνακα?;Δευτεροβάθμια;Γραμμική;Εκθετική;Υπερβολική;x;2;x;Q002_image1;
Q003;Τι είδους συνάρτηση αντιστοιχεί στο γράφημα?;Εκθετική;Δευτεροβάθμια;Γραμμική;Υπερβολική;x;3;x;;
Q004;Ποιος από τους παρακάτω τύπους ταιριάζει με μια γραμμική συνάρτηση?;y = ax + b;y = x^2 + b, ;y=-4x^2 + b;y=-sqrt (4x);x;22;x;;y = ax + b είναι σωστό
Q005;Ποιος από τους παρακάτω τύπους ταιριάζει με μια αύξουσα γραμμική συνάρτηση?;y = 4x + 3;y = -4x + 3;y = -4x - 3;y = -4x;1.3;4;G1;;y = 4x + 3 είναι σωστό γιατί το πρόσημο της κλίσης (αριθμός πριν από το x) είναι θετικό
Q006;Ποιος από τους παρακάτω τύπους ταιριάζει με φθίνουσα γραμμική συνάρτηση?;y = -9x + 1;y = 9x - 1;y = 9x +1;y = 9x;1.3;4;G1;;y = -9x + 1 είναι σωστό γιατί το πρόσημο της κλίσης (αριθμός πριν από το x) είναι αρνητικό
Q007;Ποια είναι η τιμή της πράσινης επιφάνειας?;16;14;18;Κανένα από τα παραπάνω;1.1;5;G1;Q007_image1;Η τιμή 16 είναι σωστή. Ο ρυθμός μεταβολής είναι σταθερός και ίσος με 3 (διαφορά μεταξύ των τιμών y -2 και -11 διαιρεμένη με τη διαφορά μεταξύ των αντίστοιχων τιμών x 1 και -4). Η διαφορά μεταξύ των τιμών x 5 και -1 είναι 6 και επειδή ο ρυθμός είναι 3 ξέρετε ότι η διαφορά μεταξύ των αντίστοιχων τιμών y τους πρέπει να είναι 3 φορές η διαφορά τους (3x6=18). Για να υπολογίσετε την τιμή y για x=5 προσθέτετε 18 στην τιμή y για x=-1. Δηλαδή -2+18=16.
Q008;Μια δεξαμενή 60 γαλονιών είναι αρχικά γεμάτη νερό και αποστραγγίζεται με σταθερό ρυθμό 9 γαλόνια ανά λεπτό. Γράψτε έναν τύπο που να μοντελοποιεί τον αριθμό των γαλονιών νερού στη δεξαμενή μετά από x λεπτά.;y=9x+60;y=(1/9)x+60;y=-9x+60;Κανένα από τα παραπάνω;3.5;6;G5;;Το y=9x+60 είναι σωστό γιατί ο ρυθμός μεταβολής είναι 9 και η τομή y είναι 60 (στα x=0 λεπτά υπήρχε y=60 γαλόνια νερού).
Q009;Όταν το x πολλαπλασιάζεται με 3, τότε το y πολλαπλασιάζεται με το 6. Ποιο από τα παρακάτω γραφήματα αντιπροσωπεύει αυτήν την πρόταση?;Γράφημα Β;Γράφημα C ;Γράφημα Α;Γράφημα D;x;7;G3;Q009_image1;
Q010;Δεδομένου του πίνακα. Ποιος είναι ο αντίστοιχος τύπος?;y=6x;y=-6x;y=6;y=6x+1;2.3;8;G2;Q010_image1;Το y=6x είναι σωστό. Ο ρυθμός μεταβολής είναι σταθερός και ίσος με 6 (διαφορά μεταξύ των τιμών y 30 και 12 διαιρεμένη με τη διαφορά μεταξύ των αντίστοιχων τιμών x 5 και 3).
Q011;Ένα αγαθό αυξάνεται ομοιόμορφα (γραμμικά). Στις 12.00 η ώρα είναι 10 κιλά, στις 20.00 η ώρα είναι 34 κιλά. Ποια είναι η ποσότητα στις 16.00 η ώρα?;22kg;30kg;14kg;18 kg;3.5;32;G5;;22 κιλά είναι σωστό
Q012;Ποια είναι η εξίσωση αυτής της γραμμής?;y=3;x=3;x=3y;y=3x;3.3;9;G4;Q012_image1;Το y=3 είναι σωστό. Για κάθε x-τιμή η αντίστοιχη τιμή y είναι 3. Με άλλα λόγια ο ρυθμός μεταβολής είναι σταθερός και ίσος με μηδέν και η τομή y είναι 3.
Q013;Σχεδιάζονται τέσσερις ευθείες γραμμές. Ποιος τύπος αντιστοιχεί στη ευθεία D?;y= - 0,75x-4;y= 4 - 0,75x;y= (4/3)x-4;y= (4/3)x+4;2.4;10;G2;Q013_image1;y= - 0,75x-4 είναι σωστό γιατί η τομή y είναι -4 και η κλίση είναι -0,75
Q014;Σχεδιάζονται τέσσερις ευθείες γραμμές. Ποιο γράφημα αντιστοιχεί στον τύπο y= 2−0,75x?;Γραμμή C;Γραμμή B   ;Γραμμή A;Γραμμή D;2.4;10;G2;Q013_image1;Η γραμμή C είναι σωστή επειδή η τομή y είναι 2 και η κλίση είναι -0,75
Q015;Ποια είναι η εξίσωση αυτής της γραμμής?;x= -2;x= -2y;x= -2y;y= -2;3.3;9;G4;Q015_image1;x= -2 είναι σωστό γιατί η ευθεία είναι κάθετη και διέρχεται από το σημείο (-2,0)
Q016;Δίνονται οι τύποι y=ax και y=ax+5 για συγκεκριμένο αριθμό α. Πώς συγκρίνονται οι κλίσεις τους μεταξύ τους?;Έχουν την ίδια κλίση;Έχουν την ίδια κλίση αλλά διαφορετική τιμή ;Έχουν την ίδια κλίση αλλά ίδια τιμή ;Έχουν διαφορετική κλίση και μέγεθος;2.6;11;G2;;Έχουν την ίδια κλίση γιατί και οι δύο τύποι έχουν «a» πριν από το x.
Q017;Δίνονται οι τύποι y=ax και y=ax+3 για συγκεκριμένο αριθμό α. Τι γνωρίζετε για τον ρυθμό μεταβολής τους?;Είναι ο ίδιος;Είναι διαφορετικός;Δεν είναι δυνατόν να γνωρίζουμε;Δεν γνωρίζω;2.6;11;G2;;Είναι το ίδιο γιατί και οι δύο τύποι έχουν το 'a' ως κλίση.
Q018;Δείτε το δρόμο από το Α προς το Η. Ποια είναι η κλίση του ευθύγραμμου τμήματος ΓΔ?;ίση με 1;μικρότερη από 1;μεγαλύτερη από 1;δεν γνωρίζω;1.4;12;G1;Q018_image1;ίσο με 1 είναι σωστό. Η κλίση είναι ίση με τη διαφορά μεταξύ των τιμών y διαιρούμενη με τη διαφορά μεταξύ των αντίστοιχων τιμών x (για παράδειγμα 4:4=1)
Q019;Ποιος από τους παρακάτω κανόνες, F, G ή H δεν είναι συνάρτηση?;Το H συνδέει ένα άτομο με τον παππού του/του;Το G συνδέει ένα άτομο με τη μητέρα του.;Το F συνδέει ένα άτομο με τον πατέρα του/του.;δεν γνωρίζω;x;13;x;;Το H συνδέει ένα άτομο με τον παππού του/του είναι σωστό.
Q020;Χρησιμοποιώντας το δεδομένο σημείο, ποια εξίσωση ΔΕΝ είναι η εξίσωση αυτής της ευθείας?;y -1 = -2x;2y = -4x – 2;y +1 = -2x;y - 2 = -2(x – 1,5);3.2;14;G4;Q020_image1;Το y -1 = -2x είναι σωστό γιατί αν x=- 2 τότε η τιμή y είναι 5 και όχι 3 (-2 x -2 +1 = 5)
Q021;Ποια είναι η εξίσωση της ευθείας που είναι παράλληλη στην ευθεία s?;y= -3x-2;y= -4x+1;y=3x+1;y=1/3 x-2;3.1;15;G4;Q021_image1;Το y= -3x-2 είναι σωστό γιατί η κλίση του είναι ίση (η κλίση είναι -3)
Q022;Ποια είναι η εξίσωση της ευθείας που είναι κάθετη στην ευθεία r?;y= -0,5x+1;y=-2x+1 ;y=2x-2; y=0,5x+1;3.1;15;G4;Q022_image1;Το y= -0,5+1 είναι σωστό γιατί η κλίση μιας κάθετης ευθείας είναι -1/2 (όπου 2 είναι η κλίση της ευθείας r)
Q023;Ποιες ευθείες είναι παράλληλες? A: y = 2x + 3. B: y = 2x – 5. C: y = -2x + 3;A & B;B & C;A & C;A & B & C;3.1;16;G4;;Τα Α και Β έχουν ίση κλίση 2
Q024;Ποια είναι η εξίσωση της ευθείας: * κάθετη στην ευθεία y = ½x - 7 και * περνώντας από το σημείο (3, -4)?;y = -2x + 2;y = ½x − 5½;y = 2x − 10;y = -2x − 5;2.8;17;G3;;y = -2x + 2 είναι σωστό. Η κλίση είναι -2 (-1/0,5= -2) γιατί είναι κάθετες. Η τομή y είναι 2 επειδή η γραμμή διέρχεται από (3,-4) και -2x3+2=-4
Q025;Ποια είναι η εξίσωση της ευθείας: * παράλληλη προς την ευθεία y = -¼x + 5 και * περνώντας από το σημείο (2, -1)?;y = -¼x − ½;y = ¼x − 1½;y = 4x − 9;y = -¼x − 1½;2.8;17;G3;;y = -¼x − ½ είναι σωστό. Η κλίση είναι -¼ επειδή είναι παράλληλες. Η τομή y είναι - ½ επειδή η γραμμή διέρχεται από (2,-1) και -1/4 x 2 - 1/2=-1
Q026;Ποια γραφική παράσταση συνάρτησης είναι η πιο απότομη?;Συνάρτηση 1;Συνάρτηση 2;Συνάρτηση 3;Συνάρτηση 4;2.7;30;G3;Q026-28_image1;Η συνάρτηση 1 είναι σωστή επειδή η κλίση έχει το υψηλότερο μέγεθος (ή τιμή)
Q027;Ποιες συναρτήσεις έχουν γραφήματα με κλίση μεγαλύτερη από -4?;Συναρτήσεις 2,3 και 4;Συναρτήσεις 1, 2 και 3;Συναρτήσεις 1, 2 και 4;Συναρτήσεις 1, 3 και 4;2.7;31;G3;Q026-28_image1;Οι συναρτήσεις 2, 3 και 4 είναι η σωστή επιλογή
Q028;Ποια συνάρτηση έχει το γράφημα με τομή y πιο μακριά από το 0?;Συνάρτηση 3;Συνάρτηση 1;Συνάρτηση 2;Συνάρτηση 4;2.7;18;G3;Q026-28_image1;Η συνάρτηση 3 είναι σωστή
Q029;Ποια γραφική παράσταση συνάρτησης είναι η πιο απότομη?;Συνάρτηση 1;Συνάρτηση 2;Συνάρτηση 3;Συνάρτηση 4;2.7;30;G3;Q029-31_image1;Η συνάρτηση 1 είναι σωστή επειδή η κλίση έχει το υψηλότερο μέγεθος (ή τιμή)
Q030;Ποιες συναρτήσεις έχουν γραφήματα με κλίση μικρότερη ή ίση με 1?;Συναρτήσεις 1, 2 και 4;Συναρτήσεις 1, 3 και 4;Συναρτήσεις 1, 2 και 3;Συναρτήσεις 2, 3 και 4;2.7;31;G3;Q029-31_image1;Οι συναρτήσεις 1, 2 και 4 είναι η σωστή επιλογή
Q031;Ποια συνάρτηση έχει το γράφημα με τομή y πιο μακριά από το 0?;Συνάρτηση 3;Συνάρτηση 1;Συνάρτηση 2;Συνάρτηση 4;2.7;18;G3;Q029-31_image1;Η συνάρτηση 3 είναι σωστή
Q032;Ποια γραφική παράσταση συνάρτησης είναι η πιο απότομη?;Συνάρτηση 2;Συνάρτηση 1;Συνάρτηση 3;Συνάρτηση 4;2.7;30;G3;Q032-34_image1;Η συνάρτηση 2 είναι σωστή επειδή η κλίση έχει το υψηλότερο μέγεθος (ή τιμή)
Q033;Ποιες συναρτήσεις έχουν γραφήματα με κλίσεις μικρότερες από 1?;Συναρτήσεις 1, 2 και 4;Συναρτήσεις 1, 3 και 4;Συναρτήσεις 1, 2 και 3;Συναρτήσεις 2, 3 και 4;2.7;31;G3;Q032-34_image1;Οι συναρτήσεις 1, 2 και 4 είναι η σωστή επιλογή
Q034;Ποια συνάρτηση έχει το γράφημα με τομή y πιο μακριά από το 0?;Συνάρτηση 3;Συνάρτηση 1;Συνάρτηση 2;Συνάρτηση 4;2.7;18;G3;Q032-34_image1;Η συνάρτηση 3 είναι σωστή
Q035;Ποια γραφική παράσταση συνάρτησης είναι η πιο απότομη?;Συνάρτηση 2;Συνάρτηση 1;Συνάρτηση 3;Συνάρτηση 4;2.7;30;G3;Q035-37_image1;Η συνάρτηση 2 είναι σωστή επειδή η κλίση έχει το υψηλότερο μέγεθος (ή τιμή)
