nr,Question,correct answer,wrong 1,wrong 2,wrong 3,Level.Section,variations,learning goal,Images,feedback,,,,,,,,,,,,,,,
Q001,Welke van de volgende representaties is een functie?,Grafiek A,Grafiek B,Grafiek C,Grafiek D,x,1,x,Q001_image1,,,,,,,,,,,,,,,,
Q002,Welk type functie is weergegeven in het tabel?,Quadratic,Linear ,Exponential,Hyperbolic,x,2,x,Q002_image1,,,,,,,,,,,,,,,,
Q003,Welke functie hoort bij de grafiek?,Exponential,Quadratic,Linear,Hyperbolic,x,3,x,,,,,,,,,,,,,,,,,
Q004,Welke van de volgende formules komt overeen met een lineaire functie?,y = ax + b,y = x^2 + b; ,y=-4x^2 + b,y=-sqrt (4x),x,22,x,,y = ax + b is juist,,,,,,,,,,,,,,,
Q005,Welke van de volgende formules komen overeen met een stijgende lineaire functie?,y = 4x + 3,y = -4x + 3,y = -4x - 3,y = -4x,1.3,4,G1,,y = 4x + 3 is juist omdat het teken van de helling (getal voor de x) positief is,,,,,,,,,,,,,,,
Q006,Welke van de volgende formules komen overeen met een afnemende lineaire functie?,y = -9x + 1,y = 9x - 1,y = 9x +1,y = 9x,1.3,4,G1,,y = -9x + 1 is juist omdat het teken van de helling (getal voor de x) negatief is,,,,,,,,,,,,,,,
Q007,Welke waarde hoort in het groene vak?,16,14,18,Geen een,1.1,5,G1,Q007_image1,Waarde 16 is juist. De veranderingssnelheid is constant en gelijk aan 3 (verschil tussen de y-waarden -2 en -11 gedeeld door het verschil tussen de overeenkomstige x-waarden 1 en -4). Het verschil tussen de x-waarden 5 en -1 is 6 en omdat de snelheid 3 is; weet je dat het verschil tussen hun corresponderende y-waarden 3 keer hun verschil moet zijn (3x6=18). Om de y-waarde voor x=5 te berekenen tel je 18 op bij de y-waarde voor x=-1. Dat is -2+18=16.,,,,,,,,,,,,,,,
Q008,Een tank van 60 gallon is aanvankelijk vol met water en wordt afgevoerd met een constante snelheid van 9 gallon per minuut. Schrijf een formule die het aantal liters water in de tank modelleert na x minuten.,y=9x+60,y=(1/9)x+60,y=-9x+60,Geen een,3.5,6,G5,,y=9x+60 is juist omdat de veranderingssnelheid 9 is en het y-snijpunt 60 (bij x=0 minuten was er y=60 gallon water).,,,,,,,,,,,,,,,
Q009,Wanneer x wordt vermenigvuldigd met 3; wordt y vermenigvuldigd met 6. Welke van de volgende grafieken vertegenwoordigt deze bewering?,Grafiek B,Grafiek C,Grafiek A,Grafiek D,x,7,G3,Q009_image1,,,,,,,,,,,,,,,,
Q010,Bekijk het tabel. Wat is de bijbehorende formule?,y=6x,y=-6x,y=6,y=6x+1,2.3,8,G2,Q010_image1,y=6x is juist. De veranderingssnelheid is constant en gelijk aan 6 (verschil tussen de y-waarden 30 en 12 gedeeld door het verschil tussen de overeenkomstige x-waarden 5 en 3).,,,,,,,,,,,,,,,
Q011,Een goed groeit gelijkmatig (lineair). Om 12:00 is er 10 kg; om 20:00 is er 34 kg. Wat is de hoeveelheid om 16:00?,22kg,30kg,14kg,18 kg,3.5,32,G5,,22kg is juist,,,,,,,,,,,,,,,
Q012,Wat is de vergelijking van deze lijn?,y=3,x=3,x=3y,y=3x,3.3,9,G4,Q012_image1,y=3 is juist. Voor elke x-waarde is de corresponderende y-waarde 3. Met andere woorden; de veranderingssnelheid is constant en gelijk aan nul en het y-snijpunt is 3.,,,,,,,,,,,,,,,
Q013,Er zijn vier rechte lijnen getekend. Welke formule hoort bij lijn D?,y= - 0;75x-4,y= 4 - 0;75x,y= (4/3)x-4,y= (4/3)x+4,2.4,10,G2,Q013_image1,y= - 0;75x-4 is juist omdat het y-snijpunt -4 is en de helling -0;75 is,,,,,,,,,,,,,,,
Q014,Er zijn vier rechte lijnen getekend. Welke grafiek hoort bij de formule y=2-0;75x?,Lijn C,Lijn B,Lijn A,Lijn D,2.4,10,G2,Q013_image1,Lijn C is correct omdat het y-snijpunt 2 is en de helling -0;75,,,,,,,,,,,,,,,
Q015,Wat is de vergelijking van deze lijn?,x= -2,x= -2y,x= -2y,y= -2,3.3,9,G4,Q015_image1,x= -2 is correct omdat de lijn verticaal is en door het punt gaat (-2;0),,,,,,,,,,,,,,,
Q016,Gegeven de formules y=ax en y=ax+5 voor een bepaald getal a. Hoe verhouden hun hellingen zich tot elkaar?,They have the same steep,they have the same steep but different magnitude,they have different steep and equal magnitude,They have different steep and magnitude,2.6,11,G2,,Ze hebben dezelfde helling omdat beide formules een 'a' voor de x hebben.,,,,,,,,,,,,,,,
Q017,Gegeven de formules y=ax en y=ax+3 voor een bepaald getal a. Wat weet je over de snelheid van verandering?,Het is hetzelfde,Het is verschillend,Dit is niet mogelijk om te weten,Ik weet het niet,2.6,11,G2,,Het is hetzelfde omdat beide formules 'a' als helling hebben.,,,,,,,,,,,,,,,
Q018,Zie de weg van A naar H. Wat is de helling van het lijnstuk CD?,Gelijk aan 1,Kleiner dan 1,Groter dan 1,Ik weet het niet,1.4,12,G1,Q018_image1,gelijk aan 1 is juist. De helling is gelijk aan het verschil tussen de y-waarden gedeeld door het verschil tussen de overeenkomstige x-waarden (bijvoorbeeld 4:4=1),,,,,,,,,,,,,,,
Q019,Welke van de volgende regels; F; G of H is geen functie?,H koppelt een persoon aan haar/zijn grootvader,G koppelt een persoon aan haar/zijn moeder.,F koppelt een persoon aan haar/zijn vader.,Ik weet het niet,x,13,x,,H koppelt een persoon aan haar/zijn grootvader is correct.,,,,,,,,,,,,,,,
Q020,Met behulp van het gegeven punt; welke vergelijking is NIET de vergelijking van deze rechte lijn?,y -1 = -2x,2y = -4x –,y +1 = -2x,y - 2 = -2(x – 1;,3.2,14,G4,Q020_image1,y -1 = -2x klopt want als x=- 2 dan is de y-waarde 5 en niet 3 (-2 x -2 +1 = 5),,,,,,,,,,,,,,,
Q021,Wat is de vergelijking van de lijn die evenwijdig is aan lijn s?,"y= -3x-2	","  y= -4x+1	", y=3x+1,y=1/3 x-2,3.1,15,G4,Q021_image1,y= -3x-2 is correct omdat de helling gelijk is (helling is -3),,,,,,,,,,,,,,,
Q022,Wat is de vergelijking van de lijn die loodrecht staat op lijn r?,y= -0;5x+1,y=-2x+1 ,y=2x-2, y=0;5x+1,3.1,15,G4,Q022_image1,y= -0;5+1 is correct omdat de helling van een loodrechte lijn -1/2 is (waarbij 2 de helling is van lijn r),,,,,,,,,,,,,,,
Q023,Welke lijnen zijn evenwijdig? A: y = 2x + 3. B: y = 2x – 5. C: y = -2x +,A & B,B & C,A & C,A & B & C,3.1,16,G4,,A & B hebben gelijke helling 2,,,,,,,,,,,,,,,
Q024,"""Wat is de vergelijking van de lijn: loodrecht op de lijn y = ½x - 7 en die door het punt (3; -4) gaat",y = -2x + 2,y = ½x −,y = 2x − ,y = -2x −,2.8,17,G3,,y = -2x + 2 klopt. De helling is -2 (-1/0;5= -2) omdat ze loodrecht staan. Het y-snijpunt is 2 omdat de lijn door (3;-4) en -2x3+2=-4 gaat,,,,,,,,,,,,,,,
Q025,"""Wat is de vergelijking van de lijn: evenwijdig aan de lijn y = -¼x + 5 en die door het punt (2; -1) gaat",y = -¼x �,y = ¼x −,y = 4x −,y = -¼x −,2.8,17,G3,,y = -¼x − ½ is juist. De helling is -¼ omdat ze evenwijdig zijn. Het y-snijpunt is -½ omdat de lijn door (2;-1) en -1/4 x 2 - 1/2=-,,,,,,,,,,,,,,,
Q026,Van welke functie is de grafiek het steilst?,Functie 1,Functie 2,Functie 3,Functie 4,2.7,30,G3,Q026-28_image1,"Functie 1 is correct omdat de helling de hoogste magnitude (of waarde) heeft",,,,,,,,,,,,,,,
Q027,Welke functies hebben grafieken met hellingen groter dan -4,Functies 2; 3 and 4,Functie 1; 2 en 3,Functie 1; 2 en 4,Functie 1; 3 en 4,2.7,31,G3,Q026-28_image1,functies 2; 3 en 4 is de juiste optie,,,,,,,,,,,,,,,
Q028,Welke functie heeft de grafiek met een y-snijpunt dat het verst verwijderd is van 0,Functie 3,Functie 1,Functie 2    ,Functie 4,2.7,18,G3,Q026-28_image1,Function 3 is juist,,,,,,,,,,,,,,,
Q029,Van welke functie is de grafiek het steilst?,Functie 1     ,Functie 2,Functie 3,Functie 4,2.7,30,G3,Q029-31_image1,Functie 1 is correct omdat de helling de hoogste magnitude (of waarde) heeft,,,,,,,,,,,,,,,
