nr,Question,correct answer,wrong 1,wrong 2,wrong 3,Level.Section,variations,learning goal,Images,feedback,,,,,,,,,,,,,,,
Q001,Which of the following representations is a function?,Graph A,Graph B,Graph C,Graph D,x,1,x,Q001_image1,,,,,,,,,,,,,,,,
Q002,Which kind of function is represented in the table ? ,Quadratic,Linear ,Exponential,Hyperbolic,x,2,x,Q002_image1,,,,,,,,,,,,,,,,
Q003,What kind of function corresponds to the graph? ,Exponential,Quadratic,Linear,Hyperbolic,x,3,x,,,,,,,,,,,,,,,,,
Q004,Which of the following formulas matches with a linear function? ,y = ax + b,y = x^2 + b; ,y=-4x^2 + b,y=-sqrt (4x),x,22,x,,y = ax + b is correct,,,,,,,,,,,,,,,
Q005,Which of the following formulas matches with an increasing linear function? ,y = 4x + 3,y = -4x + 3,y = -4x - 3,y = -4x,1.3,4,G1,,y = 4x + 3 is correct because the sign of the slope (number before the x) is positive,,,,,,,,,,,,,,,
Q006,Which of the following formulas matches with a decreasing linear function?,y = -9x + 1,y = 9x - 1,y = 9x +1,y = 9x,1.3,4,G1,,y = -9x + 1 is correct because the sign of the slope (number before the x) is negative,,,,,,,,,,,,,,,
Q007,What value goes in the green space ? ,16,14,18,None of them,1.1,5,G1,Q007_image1,Value 16 is correct. The rate of change is constante and equal to 3 (diference between the y-values -2 and -11 divided by the difference between the correspondent x-values 1 and -4). The difference between the x-values 5 and -1 is 6 and because the rate is 3 you know that the difference between their correspondent y-values must be 3 times their difference (3x6=18). To calculate the y-value for x=5 you add 18 to the y-value for x=-1. That is -2+18=16.,,,,,,,,,,,,,,,
Q008,A 60-gallon tank is initially full of water and being drained at a constant rate of 9 gallons per minute. Write a formula that models the number of gallons of water in the tank after x minutes.,y=9x+60,y=(1/9)x+60,y=-9x+60,None of them,3.5,6,G5,,y=9x+60 is correct because the rate of change is 9 and the y-intercept is 60 (at x=0 minutes there was y=60 gallon water).,,,,,,,,,,,,,,,
Q009,When x is multiplied by 3; then y will be multiplied by 6. Which of the following graphs represents this statement?,Graph B,Graph C,Graph A,Graph D,x,7,G3,Q009_image1,,,,,,,,,,,,,,,,
Q010,Given the table. Which is the corresponding formula?,y=6x,y=-6x,y=6,y=6x+1,2.3,8,G2,Q010_image1,y=6x is correct. The rate of change is constante and equal to 6 (diference between the y-values 30 and 12 divided by the difference between the correspondent x-values 5 and 3). ,,,,,,,,,,,,,,,
Q011,A good grows evenly (linear). At 12 o'clock there is 10 kg; at 20 o'clock there is 34 kg. What is the quantity at 16 o'clock? ,22kg,30kg,14kg,18 kg,3.5,32,G5,,22kg is correct,,,,,,,,,,,,,,,
Q012,What is the equation of this line?,y=3,x=3,x=3y,y=3x,3.3,9,G4,Q012_image1,y=3 is correct. For each x-value the correspondent y-value is 3. In other words the rate of change is constante and equal to zero and the y-intercept is 3.,,,,,,,,,,,,,,,
Q013,Drawn are four straight lines. Which formula corresponds to line D?  ,y= - 0;75x-4,y= 4 - 0;75x,y= (4/3)x-4,y= (4/3)x+4,2.4,10,G2,Q013_image1,y= - 0;75x-4 is correct because the y-intercept is -4 and the slope is -0;75,,,,,,,,,,,,,,,
Q014,Drawn are four straight lines. Which graph corresponds to the formula y= 2−0;75x,Line C,Line B   ,Line A,Line D,2.4,10,G2,Q013_image1,Line C is correct because the y-intercept is 2 and the slope is -0;75,,,,,,,,,,,,,,,
Q015,What is the equation of this line?,x= -2,x= -2y,x= -2y,y= -2,3.3,9,G4,Q015_image1,x= -2 is correct because the line is vertical and goes through the point (-2;0),,,,,,,,,,,,,,,
Q016,Given the formulas y=ax and y=ax+5 for a certain number a. How do their slopes compare to each other?,They have the same steep,they have the same steep but different magnitude,they have different steep and equal magnitude,They have different steep and magnitude,2.6,11,G2,,They have the same slope because both formulas have 'a' before the x.,,,,,,,,,,,,,,,
Q017,Given the formulas y=ax and y=ax+3 for a certain number a. What do you know about the rate of change?,It is the same ,it is different ,it is not possible to know,I don't know,2.6,11,G2,,It is the same because both formulas have 'a' as slope.,,,,,,,,,,,,,,,
Q018,See the road from A to H. What is the slope of the line segment CD?,equal to 1,less than 1,greater than 1,I don't know,1.4,12,G1,Q018_image1,equal to 1 is correct. The slope is equal to the diference between the y-values divided by the difference between the correspondent x-values (for instance 4:4=1),,,,,,,,,,,,,,,
Q019,Which of the following rules; F; G or H is not a function?,H links a person to her/his  grandfather,G links a person to her/his mother.,F links a person to her/his father. ,I don't know,x,13,x,,H links a person to her/his  grandfather is correct.,,,,,,,,,,,,,,,
Q020,Using the given point; which equation is NOT the equation of this straight line?,y -1 = -2x,2y = -4x –,y +1 = -2x,y - 2 = -2(x – 1;,3.2,14,G4,Q020_image1,y -1 = -2x is correct because if x=- 2 than the y-value is 5 and not 3 (-2 x -2 +1 = 5),,,,,,,,,,,,,,,
Q021,What is the equation of the line that is parallel to line s?,"y= -3x-2	","  y= -4x+1	", y=3x+1,y=1/3 x-2,3.1,15,G4,Q021_image1,y= -3x-2 is correct        because its slope is equal (slope is -3),,,,,,,,,,,,,,,
Q022,What is the equation of the line that is perpendicular to line r?,y= -0;5x+1,y=-2x+1 ,y=2x-2, y=0;5x+1,3.1,15,G4,Q022_image1,y= -0;5+1 is correct because the slope of a perpendicular line is -1/2 (where 2 is the slope of line r),,,,,,,,,,,,,,,
Q023,Which lines are parallel? A: y = 2x + 3.  B: y = 2x – 5.  C: y = -2x +,A & B,B & C,A & C,A & B & C,3.1,16,G4,,A & B have equal slope 2,,,,,,,,,,,,,,,
Q024,"What is the equation of the line: perpendicular to the line y = ½x - 7 and passing through the point (3; -4)?",y = -2x + 2,y = ½x −,y = 2x − ,y = -2x −,2.8,17,G3,,y = -2x + 2 is correct. The slope is -2 (-1/0;5= -2) because they are perpendicular. The y-intercept is 2 because the line goes through (3;-4) and -2x3+2=-4,,,,,,,,,,,,,,,
Q025,"What is the equation of the line: parallel to the line y = -¼x + 5 and passing through the point (2; -1)",y = -¼x �,y = ¼x −,y = 4x −,y = -¼x −,2.8,17,G3,,y = -¼x − ½ is correct. The slope is -¼ because they are parallel. The y-intercept is - ½ because the line goes through (2;-1) and -1/4 x 2 - ,,,,,,,,,,,,,,,
Q026,Which function’s graph is the steepes,Function 1,Function 2,Function 3,Function 4,2.7,30,G3,Q026-28_image1,Function 1 is correct because the slope has the highest magnitude (or value),,,,,,,,,,,,,,,
